"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q1-Buzzer1";"SOT-23";1;"S8050";;;
2;"J6";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Dry Contact OptoCoupler";;;
3;"R2-Throw-A1";"R_0805_2012Metric";1;"33K";;;
4;"U1";"TSSOP-10_3x3mm_P0.5mm";1;"ADS1115IDGS - low volt";;;
5;"R1-Buzzer1,R18-A1-2,R9-A2-2,R8-A2-1,R13-Opto-GND1,R10-A2-3,R17-A1-3";"R_0805_2012Metric";7;"1K";;;
6;"R5,R7-SDA1,R6-SCL1,R12-Opto-PullUp1";"R_0805_2012Metric";4;"10K";;;
7;"D1-Opto1";"D_0805_2012Metric";1;"1N4148";;;
8;"R3-ThrowB1,R4-Common1";"R_0805_2012Metric";2;"100k";;;
9;"J4";"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal";1;"SPDT (on)-off-(on)";;;
10;"C4-3v1";"C_0805_2012Metric";1;"47uF 10v DC";;;
11;"C2,C3,C6,C4,C5,C1";"C_0805_2012Metric";6;"100nF, 35V";;;
12;"R15-Purple1";"R_0805_2012Metric";1;"2.2K";;;
13;"C2-5v1";"C_0805_2012Metric";1;"100uF 10vDC";;;
14;"J8";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"5vIn";;;
15;"SW1";"SW_SPDT_Shouhan_MSK12C02";1;"SW_SPDT";;;
16;"J5";"TerminalBlock_Phoenix_MKDS-1,5-7-5.08_1x07_P5.08mm_Horizontal";1;"ADC Inputs - 24v side";;;
17;"C5-3v1";"C_0805_2012Metric";1;"1uF 10v DC";;;
18;"C3-3v1";"C_0805_2012Metric";1;"100nF 10v DC";;;
19;"U3-Opto1";"SOP-4_4.4x2.6mm_P1.27mm";1;"PC817";;;
20;"J1";"ESP32-PinHeader_2x20_P2.54mm_Vertical";1;"ESP32-S3-ETH-WAVETREE-Footprint";;;
21;"C1-5v1";"C_0805_2012Metric";1;"0.1uF 10v DC";;;
22;"R16-A2-0";"R_0805_2012Metric";1;"22K";;;
23;"J3";"TerminalBlock_Phoenix_MKDS-1,5-6-5.08_1x06_P5.08mm_Horizontal";1;"4 Channel 5v Relay Connector";;;
24;"LS1-Buzzer1";"MLT8530";1;"MLT-8530";;;
25;"J2";"PinHeader_1x13_P1.00mm_Vertical";1;"ILI9341 TFT 2.8" Display with XPT2046 Touch";;;
26;"R11-Opto-In1";"R_0805_2012Metric";1;"R1K";;;
27;"U2";"TSSOP-10_3x3mm_P0.5mm";1;"ADS1115IDGS - 24v";;;
